label,x,y,score,class,year,citations,title,doi
George Sugihara & Robert M. May (1990),7231.132,1444.368,0.009,3,1990,1922,Nonlinear forecasting as a way of distinguishing chaos from measurement error in time series,10.1038/344734a0
Robert M. May (1974),7786.935,2091.852,0,3,1974,1692,"Biological Populations with Nonoverlapping Generations: Stable Points, Stable Cycles, and Chaos",10.1126/science.186.4164.645
J. Doyne Farmer & John J. Sidorowich (1987),6020.33,529.01,0.037,3,1987,1928,Predicting chaotic time series,10.1103/physrevlett.59.845
James Theiler et al. (1992),5806.318,891.926,0.002,3,1992,3725,Testing for nonlinearity in time series: the method of surrogate data,10.1016/0167-2789(92)90102-s
Robert Vautard et al. (1992),5162.721,-1325.327,0,3,1992,1452,"Singular-spectrum analysis: A toolkit for short, noisy chaotic signals",10.1016/0167-2789(92)90103-t
Michael D. Geurts et al. (1977),4358.885,-551.964,0.003,0,1977,19298,Time Series Analysis: Forecasting and Control,10.2307/3150485
Bruce M. Hill et al. (1974),5192.327,-2376.133,0,1,1974,1469,Bayesian Inference in Statistical Analysis,10.2307/1267683
Bruce M. Hill (1975),6125.298,-683.109,0,3,1975,3103,A Simple General Approach to Inference About the Tail of a Distribution,10.1214/aos/1176343247
Walter Willinger et al. (1997),5812.108,26.658,0.001,3,1997,1646,Self-similarity through high-variability: statistical analysis of Ethernet LAN traffic at the source level,10.1109/90.554723
Robin Sommer & Vern Paxson (2010),3069.237,-1558.625,0.002,1,2010,1733,Outside the Closed World: On Using Machine Learning for Network Intrusion Detection,10.1109/sp.2010.25
Shigeo Abe (2001),1515.27,-1987.366,0,0,2001,3739,Pattern Classification,10.1007/978-1-4471-0285-4
Kai Keng Ang et al. (2008),2446.16,-999.956,0.004,0,2008,1355,Filter Bank Common Spatial Pattern (FBCSP) in Brain-Computer Interface,10.1109/ijcnn.2008.4634130
Adrian Bowman & Adelchi Azzalini (1997),4484.788,-2054.616,0,1,1997,1774,Applied Smoothing Techniques for Data Analysis,10.1093/oso/9780198523963.001.0001
Adelchi Azzalini (1985),5530.18,-2682.533,0.001,1,1985,2620,A class of distributions which includes the normal ones,
G. Pfurtscheller & Christa Neuper (2001),2010.018,-52.062,0.008,0,2001,1897,Motor imagery and direct brain-computer communication,10.1109/5.939829
L. R. Rabiner (1989),1166.633,-1528.243,0.011,0,1989,22572,A tutorial on hidden Markov models and selected applications in speech recognition,10.1109/5.18626
G. David Forney (1973),878.412,-1481.516,0,0,1973,5609,The viterbi algorithm,10.1109/proc.1973.9030
Claude E. Shannon (1951),471.436,-497.756,0,4,1951,2656,Prediction and Entropy of Printed English,10.1002/j.1538-7305.1951.tb01366.x
Claude E. Shannon (1998),1639.533,-3739.555,0,4,1998,4869,Communication In The Presence Of Noise,10.1109/jproc.1998.659497
Michaël Unser (2000),-192.869,-5611.311,0,4,2000,1355,Sampling-50 years after Shannon,10.1109/5.843002
Ingrid Daubechies (1992),152.723,-6399.398,0.013,4,1992,13219,"Ten lectures on wavelets Contains lectures delivered at the CBMS conference organized in June 1990 by the Mathematics Dept. at the University of Lowell, Mass",10.1137/1.9781611970104
Ingrid Daubechies et al. (2010),1190.778,-7178.64,0.03,4,2010,2370,Synchrosqueezed wavelet transforms: An empirical mode decomposition-like tool,10.1016/j.acha.2010.08.002
Zhaohua Wu & Norden E. Huang (2004),2222.91,-7136.117,0.005,4,2004,1694,A study of the characteristics of white noise using the empirical mode decomposition method,10.1098/rspa.2003.1221
Norden E. Huang et al. (1999),1964.047,-7026.126,0.001,4,1999,2089,A NEW VIEW OF NONLINEAR WATER WAVES: The Hilbert Spectrum,10.1146/annurev.fluid.31.1.417
S. O. Rice (1945),157.849,-5056.356,0,0,1945,2861,Mathematical Analysis of Random Noise,10.1002/j.1538-7305.1945.tb00453.x
David Marr & Tomaso Poggio (1979),-378.799,-2492.942,0.193,0,1979,1799,A computational theory of human stereo vision,10.1098/rspb.1979.0029
Federico Girosi et al. (1995),226.63,-2233.837,0.082,0,1995,1348,Regularization Theory and Neural Networks Architectures,10.1162/neco.1995.7.2.219
Ejaz Ahmed et al. (2015),-4143.315,-2342.792,0.032,0,2015,1342,An improved deep learning architecture for person re-identification,10.1109/cvpr.2015.7299016
Jason V. Davis et al. (2007),-3268.931,-1613.538,0.002,0,2007,2029,Information-theoretic metric learning,10.1145/1273496.1273523
Arindam Banerjee et al. (2004),1167.063,-2340.666,0.006,0,2004,1525,Clustering with Bregman Divergences,10.1137/1.9781611972740.22
Anuj Karpatne et al. (2017),561.323,-744.927,0.021,0,2017,1363,Theory-Guided Data Science: A New Paradigm for Scientific Discovery from Data,10.1109/tkde.2017.2720168
Ming Yuan & Yi Lin (2005),1162.295,-4063.428,0,1,2005,7333,Model Selection and Estimation in Regression with Grouped Variables,10.1111/j.1467-9868.2005.00532.x
Ming Yuan & Yi Lin (2007),2533.103,-4169.774,0,1,2007,1685,Model selection and estimation in the Gaussian graphical model,10.1093/biomet/asm018
Robert Tibshirani (1996),1399.443,-3882.049,0.069,1,1996,50422,Regression Shrinkage and Selection Via the Lasso,10.1111/j.2517-6161.1996.tb02080.x
Bradley Efron & Robert Tibshirani (1997),2835.507,-4307.866,0.01,1,1997,1369,Improvements on Cross-Validation: The 632+ Bootstrap Method,10.1080/01621459.1997.10474007
J. Praagman (1985),2887.002,-2584.344,0,1,1985,10158,Classification and regression trees,10.1016/0377-2217(85)90321-2
Ker-Chau Li (1991),2590.612,-3926.269,0,1,1991,2064,Sliced Inverse Regression for Dimension Reduction,10.1080/01621459.1991.10475035
Gregory F. Cooper & Edward H. Herskovits (1992),3381.274,-13.04,0.002,1,1992,2337,A Bayesian method for the induction of probabilistic networks from data,10.1007/bf00994110
Unknown (1988),3890.544,-267.68,0,1,1988,3311,Probabilistic Reasoning in Intelligent Systems,10.1016/c2009-0-27609-4
Ilya Shmulevich et al. (2002),5547.435,-1388.608,0,1,2002,1606,Probabilistic Boolean networks: a rule-based uncertainty model for gene regulatory networks,10.1093/bioinformatics/18.2.261
Unknown (1994),6941.328,1139.267,0,2,1994,6754,The origins of order; self organization and selection in evolution,10.1016/0020-711x(94)90119-8
Thomas Bäck et al. (1997),6586.177,150.689,0.004,2,1997,1537,Evolutionary computation: comments on the history and current state,10.1109/4235.585888
Lawrence J. Fogel et al. (1966),6425.414,316.469,0,2,1966,2817,Artificial Intelligence through Simulated Evolution,
Laith Abualigah et al. (2021),7067.176,-8.162,0.002,2,2021,1346,Reptile Search Algorithm (RSA): A nature-inspired meta-heuristic optimizer,10.1016/j.eswa.2021.116158
Seyedali Mirjalili & Andrew Lewis (2016),7616.778,-42.219,0,2,2016,13417,The Whale Optimization Algorithm,10.1016/j.advengsoft.2016.01.008
Seyedali Mirjalili (2018),7447.771,44.916,0,2,2018,1362,Genetic Algorithm,10.1007/978-3-319-93025-1_4
M. Srinivas & L.M. Patnaik (1994),6534.104,33.278,0,2,1994,2162,Genetic algorithms: a survey,10.1109/2.294849
D. E. Goldberg (1989),6084.738,-153.266,0.002,2,1989,10051,Genetic Algorithms in Search,
D. E. Goldberg (1989),7322.106,-698.826,0,2,1989,2308,"Genetic Algorithms in Search, Optimization & Machine Learning",
David Stockwell (1999),5353.223,-2052.901,0.001,2,1999,1401,The GARP modelling system: problems and solutions to automated spatial prediction,10.1080/136588199241391
Steven J. Phillips et al. (2004),2658.171,-2625.362,0.002,1,2004,2256,A maximum entropy approach to species distribution modeling,10.1145/1015330.1015412
Yoav Freund & Robert E. Schapire (1995),951.423,-2601.43,0,1,1995,2179,A desicion-theoretic generalization of on-line learning and an application to boosting,10.1007/3-540-59119-2_166
Yoav Freund (1995),1774.401,-2282.611,0,1,1995,1668,Boosting a Weak Learning Algorithm by Majority,10.1006/inco.1995.1136
Guang-Bin Huang et al. (2011),1183.374,-670.627,0.001,0,2011,1901,Extreme learning machines: a survey,10.1007/s13042-011-0019-y
Frank F. Rosenblatt (1961),1145.518,583.114,0,0,1961,1566,PRINCIPLES OF NEURODYNAMICS. PERCEPTRONS AND THE THEORY OF BRAIN MECHANISMS,10.21236/ad0256582
Frank F. Rosenblatt (1958),-65.258,634.586,0.002,0,1958,11468,The perceptron: A probabilistic model for information storage and organization in the brain.,10.1037/h0042519
John von Neumann (1956),1772.372,1760.926,0,0,1956,1666,Probabilistic Logic and the Synthesis of Reliable Organisms from Unreliable Components,
A. Aldo Faisal et al. (2008),3978.392,2358.633,0.011,3,2008,2880,Noise in the nervous system,10.1038/nrn2258
Daniel M. Wolpert & Zoubin Ghahramani (2000),3012.993,2487.451,0.018,3,2000,2116,Computational principles of movement neuroscience,10.1038/81497
Xiongjie Zhu & Zoubin Ghahramani (2002),-423.858,1343.319,0.001,0,2002,1568,Learning from Labeled and Unlabeled Data with Label Propagation,
Yann LeCun et al. (1989),-2678.642,260.914,0.04,0,1989,3631,Handwritten Digit Recognition with a Back-Propagation Network,
Mariusz Bojarski et al. (2016),-3454.372,174.823,0,0,2016,3101,End to End Learning for Self-Driving Cars,10.48550/arxiv.1604.07316
Dean Pomerleau (1990),-2468.85,165.443,0,0,1990,1428,"ALVINN, an autonomous land vehicle in a neural network",10.1184/r1/6603146.v1
Guilherme N. DeSouza & A.C. Kak (2002),1448.06,-3380.179,0.004,0,2002,1348,Vision for mobile robot navigation: a survey,10.1109/34.982903
Tomás Lozano‐Pérez & M. A. Wesley (1979),3658.738,-3583.901,0,5,1979,2284,An algorithm for planning collision-free paths among polyhedral obstacles,10.1145/359156.359164
Peter Hart et al. (1968),3962.437,-70.522,0.002,3,1968,11926,A Formal Basis for the Heuristic Determination of Minimum Cost Paths,10.1109/tssc.1968.300136
Richard Fikes & Nils J. Nilsson (1971),5477.938,2659.787,0,3,1971,1479,STRIPS: a new approach to the application of theorem proving to problem solving,
Michael Wooldridge & Nicholas R. Jennings (1995),6279.133,3271.423,0,3,1995,1355,"Agent theories, architectures, and languages: A survey",10.1007/3-540-58855-8_1
